CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
208V-10,TERM. A. E. CARVALHO – TERM. PQ. D. PEDRO II,TERM. A. E. CARVALHO – TERM. PQ. D. PEDRO II,MANTIDA
209P-10,CACHOEIRINHA – TERM. PINHEIROS,CACHOEIRINHA – TERM. PINHEIROS,MANTIDA
2100-10,TERM. VL. CARRÃO – PÇA. DA SÉ,TERM. VL. CARRÃO – PÇA. DA SÉ,MANTIDA
2101-10,PÇA. SILVIO ROMERO – PÇA. DA SÉ,PÇA. SILVIO ROMERO – PÇA DA SÉ,MANTIDA
2101-41,PÇA. SILVIO ROMERO – VL. PRUDENTE,PÇA. SILVIO ROMERO – VL. PRUDENTE,MANTIDA
2104-10,METRÔ SANTANA – TERM. PQ. D. PEDRO II,MANDAQUI – TERM. PQ. D. PEDRO II,CORTADA
2105-10,JD. FILHOS DA TERRA – LGO. DA CONCÓRDIA,JD. FILHOS DA TERRA – METRÔ SANTANA,CORTADA
211L-10,MANDAQUI – LAPA,,EXTINTA
211V-10,VL. PARANAGUÁ – PENHA,,EXTINTA
2123-10,VL. MEDEIROS – LIBERDADE,VL. MEDEIROS – LIBERDADE,MANTIDA
2127-10,JD. BRASIL – LIBERDADE,JD. BRASIL – LIBERDADE,MANTIDA
213C-10,VL. CALIFÓRNIA – ITAIM PAULISTA,VL. CALIFÓRNIA – SÃO MATEUS,CORTADA
213C-31,VL. CALIFÓRNIA – ITAIM PAULISTA,,EXTINTA
"2,13E-08",EDÚ CHAVES – METRÔ BELÉM,EDÚ CHAVES – METRÔ BELÉM,MANTIDA
2161-10,PQ. EDÚ CHAVES – PÇA. DO CORREIO,PQ. EDÚ CHAVES – TERM. PQ. D. PEDRO II,CORTADA
2182-10,JD. BRASIL – PÇA. DO CORREIO,JD. BRASIL – PÇA. DO CORREIO,MANTIDA
2201-10,DIV. DE FERRAZ – CPTM GUAIANAZES,DIV. DE FERRAZ – CPTM GUAIANAZES,MANTIDA
2202-10,HOSP. ITAIM – CPTM GUAIANAZES,HOSP. ITAIM – CPTM GUAIANAZES,MANTIDA
2203-10,BURGO PAULISTA – SHOP. PENHA,,EXTINTA
2290-10,TERM. SÃO MATEUS – TERM. PQ. D. PEDRO II,TERM. SÃO MATEUS – TERM. PQ. D. PEDRO II,MANTIDA
2290-21,SÃO MATEUS – TERM. PQ. D. PEDRO II,TERM. SÃO MATEUS – TERM. PQ. D. PEDRO II,MANTIDA
233A-10,JD. HELENA – CERET,JD. HELENA – TERM. VL. CARRÃO,CORTADA
233C-10,TERM. A. E. CARVALHO – CERET,METRÔ ITAQUERA – CERET,CORTADA
2363-10,JD. DANFER – TERM. PQ. D. PEDRO II,JD. DANFER – TERM. PQ. D. PEDRO II,MANTIDA
2435-10,JD. COIMBRA – TERM. ARICANDUVA,JD. COIMBRA – TERM. ARICANDUVA,MANTIDA
2451-10,VL. SÃO FRANCISCO – TERM. ARICANDUVA,VL. SÃO FRANCISCO – TERM. ARICANDUVA,MANTIDA
2460-10,CEM. DA SAUDADE – TERM. A. E. CARVALHO,CEM. DA SAUDADE – TERM. A. E. CARVALHO,MANTIDA
